https://de.wiktionary.org/wiki/Verzeichnis:Deutsch/Grundwortschatz
http://www.isb.bayern.de/download/1353/neuerungen-deutschlp-gs-07-01-12.pdf
http://bildungsserver.berlin-brandenburg.de/fileadmin/bbb/unterricht/faecher/sprachen/deutsch/Grundschule/2011_11_25_GWS_1_WEB.pdf


Kosmetik, die
Kraft, die
Krankenkasse, die
Krankheit, die
Kraut, das
Kredit, der
Kreditkarte, die
Kreis, der
Kreuz, das
Kreuzung, die
Krieg, der
Kuchen, der
Kugal, die
Kugelschreiber, der
Kuh, die
Kunde, der
Kundin, die
Kurs, der
Kuss, der
Käfer, der
Käfig, der
Kälte, die
Käse, der
König, der
Königin, die
Körper, der
Küche, die
Kühlschrank, der
Kündigung, die
Laden, der
Lager, das
Lampe, die
Land, das
Landschaft, die
Laub, das
Leben, das
Lebensmittel, die
Lehre, die
Lehrer, der
Lehrerin, die
Leute, die
Lexikon, das
Licht, das
Lied, das
Liter, der
Lkw, der
Loch, das
Lohn, der
Lokal, das
Luft, die
Lust, die
Lärm, der
Läufer, der
Löffel, der
Lösung, die
Magen, der
Magnet, der
Mai, der
Mal, das
Mama, die
Mann, der
Mannschaft
Mantel, der
Markt, der
Maschine, die
Material, das
Maus, die
Maß, das
Mechaniker, der
Medien, die
Medikament, das
Meer, das
Mehrwertsteuer, die
Meinung, die
Menge, die
Mensch, der
Messer, das
Metall, das
Miete, die
Milch, die
Minute, die
Mittag, der
Mitte, die
Mitteilung, die
Mittel, das
Mittelschule, die
Mittwoch, der
Mode, die
Moment, der
Monat, der
Montag, der
Moor, das
Moos, das
Morgen, der
Motor, der
Mund, der
Museum, das
Musik, die
Mutter, die
Mädchen, das
März, der
Möbel, die
Möwe, die
Mühle, die
Müll, der
Mülltonne, die
Nachbar, der
Nachbarin, die
Nachmittag,
Nachrichten, die
Nacht, die
Nahrung, die
Naht, die
Name, der
Nase, die
Natur, die
Nebel, der
Norden, der
Notarzt, der
Note, die
Notfall, der
Notiz, die
November, der
Nudel, die
Nummer, die
Nuss, die
Nutzen, der
Nähe, die
Ober, der
Obst, das
Ohr, das
Oktober, der
Oma, die
Onkel, der
Opa, der
Operation, die
Orange, die
Ordnung, die
Ort, der
Osten, der
Ostern, die
Paket, das
Panne, die
Papa, der
Papier, das
Papiere, die
Parfüm, das
Park, der
Partner, der
Partnerin, die
Party, die
Pass, der
Pause, die
Pension, die
Pfeife, die
Pferd, das
Pfund, das
Pilz, der
Pizza, die
Pkw, der
Plan, der
Plastik, das
Platz, der
Polizei, die
Pommes, die
Pommes frites, die
Portion, die
Post, die
Postleitzahl,
Praktikum, das
Praxis, die
Preis, der
Problem, das
Produkt, das
Programm, das
Prospekt, der
Prüfung, die
Pullover, der
Puppe, die
Päckchen, das
Quadrat, das
Qual, die
Qualität, die
Quelle, die
Quittung, die
Rabatt, der
Radio, das
Rasen, der
Rathaus, das
Raucher, der
Raucherin, die
Raum, der
Raupe, die
Realschule, die
Rechnung, die
Regen, der
Reh, das
Reifen, der
Reinigung, die
Reis, der
Reise, die
Reisebüro, das
Reiseführer, der
Reparatur, die
Restaurant, das
Rezept, das
Rezeption, die
Rind, das
Rock, der
Rose, die
Ruhe, die
Rundgang, der
Rätsel, das
Rücken, der
S-Bahn, die
Sache, die
Saft, der
Salat, der
Salz, das
Sammlung, die
Samstag, der
Sand, der
Satz, der
Schaf, das
Schall, der
Schalter, der
Schatten, der
Scheckkarte, die
Schere, die
Schiff, das
Schild, das
Schinken, der
Schirm, der
Schloss, das
Schluss, der
Schlüssel, der
Schmerzen, die
Schmetterling, der
Schmutz, der
Schnee, der
Schnupfen, der
Schokolade, die
Schrank, der
Schreck, der
Schuh, der
Schule, die
Schutz, der
Schwamm, der
Schwein, das
Schwester, die
Schwierigkeit
Schwimmbad, das
Schärfe, die
Schüler, der
Schülerin, die
See, der
Segel, das
Sehenswürdigkeit, die
Seife, die
Sekretärin, die
Sekunde, die
Sendung, die
Senioren, die
September, der
Service, der
Sessel, der
Skizze, die
Sofa, das
Sohn, der
Sommer, der
Sonderangebot, das
Sonnabend, der
Sonne, die
Sonntag, der
Sorge, die
Spaziergang, der
Spaß, der
Speisekarte, die
Spiegel, der
Spiel, das
Spielplatz, der
Spitze, die
Sport, der
Sprache, die
Sprachenschule, die
Sprechstunde, die
Spülmaschine, die
Stadt, die
Stamm, der
Standesamt, das
Stange, die
Stempel, der
Steuer, die
Stiel, der
Stift, der
Stirn, die
Stock, der
Stoff, der
Strand, der
Strauch, der
Strauß, der
Straße, die
Straßenbahn, die
Streichholz, das
Streit, der
Strom, der
Student, der
Studentin,
Studium, das
Stuhl, der
Stunde, die
Sturm, der
Stängel, der
Stück, das
Supermarkt, der
Suppe, die
Süden, der
Süßigkeit, die
Tag, der
Tankstelle, die
Tante, die
Tasche, die
Tasse, die
Taste, die
Taxi, das
Technik, die
Teddy, der
Tee, der
Teil, das
Telefon, das
Telefonbuch, das
Teller, der
Temperatur, die
Teppich, der
Termin, der
Test, der
Text, der
Theater, das
Thema, das
Thermometer
Ticket, das
Tiefe, die
Tier, das
Tiger, der
Tipp, der
Tisch, der
Tochter, die
Toilette, die
Tomate, die
Topf, der
Tourist, der
Traum, der
Treppe, die
Trinkgeld, das
Träne, die
Turm, der
Tür, die
Tüte, die
U-Bahn, die
Uhr, die
Unfall, der
Universität, die
Unterkunft,
Unterricht, der
Unterschied, der
Unterschrift, die
Untersuchung, die
Urlaub, der
Vase, die
Vater, der
Verbindung, die
Verbot, das
Verbrennung
Verein, der
Verkehr, der
Verkäufer, der
Verkäuferin, die
Verletzung, die
Vermieter, der
Verpackung, die
Verschmutzung, die
Versicherung, die
Verspätung, die
Vertrag, der
Video, das
Vogel, der
Volksschule, die
Vorfahrt, die
Vormittag,
Vorname, der
Vorsicht, die
Vorwahl, die
Wagen, der
Wahl, die
Wald, der
Wasser, das
Wecker, der
Weg, der
Weihnachten, das
Wein, der
Welt, die
Werkstatt, die
Werkzeug, das
Westen, der
Wetter, das
Wiederhören, das
Wiedersehen, das
Wiese, die
Wind, der
Winter, der
Wirtschaft, die
Wissen, das
Woche, die
Wochenende, das
Wochentag, der
Wohnung, die
Wolf, der
Wolke, die
Wort, das
Wunsch, der
Wurst, die
Wurzel, die
Wärme, die
Wäsche, die
Zahl, die
Zahn, der
Zeh, der
Zeichen, das
Zeichnung, die
Zeit, die
Zeitschrift, die
Zeitung, die
Zentrum, das
Zettel, der
Zeugnis, das
Ziege, die
Ziel, das
Zigarette, die
Zimmer, das
Zitrone, die
Zoll, der
Zucker, der
Zug, der
Zukunft, die
Zwiebel, die
Ärger, der
Ärztin, die
Öl, das
Übernachtung, die
